S/N,UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Geoid height,Speed,Course,Satellite used,Positioning mode,GPS time consumption,HorAccuracy,VerAccuracy,HDOP,VDOP,Data source
6188,db0bbc637a3a,2021-08-22T00:06:01.392Z,2021-08-21T08:04:26Z,17.4971888,51.535648,116.77,158.52,0,0,5,2,6,0,0,2.25,0.98,1
6188,db0bbc637a3a,2021-08-22T00:06:01.393Z,2021-08-21T12:04:31Z,17.4877792,51.5416768,406.49,448.23,8.7,318.6,5,2,13,0,0,1.22,0.89,1
6188,db0bbc637a3a,2021-08-22T00:06:01.394Z,2021-08-21T16:05:00Z,17.4816432,51.5432096,122.16,163.91,0.1,0,8,2,38,0,0,0.9,0.84,1
6188,db0bbc637a3a,2021-08-22T00:06:01.395Z,2021-08-21T20:05:25Z,17.4881568,51.5428608,43.09,84.83,1,9,6,2,66,0,0,2.2,0.96,1
6188,db0bbc637a3a,2021-08-22T00:06:01.396Z,2021-08-22T00:05:19Z,17.4872272,51.544448,-12.98,28.75,0.4,155.6,5,1,62,0,0,1.03,0.92,1
6188,db0bbc637a3a,2021-08-23T00:05:45.501Z,2021-08-22T04:05:54Z,17.4897296,51.538144,116.94,158.68,0.1,0,5,2,92,0,0,1.13,0.89,1
6188,db0bbc637a3a,2021-08-23T00:05:45.502Z,2021-08-22T08:05:19Z,17.4966224,51.5339104,-114.79,-73.05,0.1,0,6,1,59,0,0,1.13,0.95,1
6188,db0bbc637a3a,2021-08-23T00:05:45.502Z,2021-08-22T12:04:39Z,17.524976,51.5253344,215.63,257.37,7.8,291.6,6,2,21,0,0,1.15,0.86,1
6188,db0bbc637a3a,2021-08-23T00:05:45.503Z,2021-08-22T16:04:50Z,17.4896144,51.544288,457.59,499.33,0,0,5,2,28,0,0,1.26,0.99,1
6188,db0bbc637a3a,2021-08-23T00:05:45.504Z,2021-08-22T20:05:20Z,17.4883696,51.5437056,117.22,158.96,0.6,355.9,5,2,61,0,0,2.04,0.93,1
6188,db0bbc637a3a,2021-08-23T00:05:45.505Z,2021-08-23T00:05:12Z,17.4876048,51.5441056,90.03,131.77,0,0,5,2,54,0,0,1.04,0.92,1
6188,db0bbc637a3a,2021-08-25T00:06:17.874Z,2021-08-23T04:05:00Z,17.4884048,51.5438752,220.44,262.18,0.2,243.5,5,2,39,0,0,1.16,0.9,1
6188,db0bbc637a3a,2021-08-25T00:06:17.875Z,2021-08-23T08:04:43Z,17.4919904,51.5384864,76.2,117.94,2.9,275.6,5,2,23,0,0,2.69,0.9,1
6188,db0bbc637a3a,2021-08-25T00:06:17.875Z,2021-08-23T12:06:54Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-25T00:06:17.876Z,2021-08-23T16:04:53Z,17.4980048,51.5341792,161.92,203.67,0.3,311.1,7,1,37,0,0,0.95,0.88,1
6188,db0bbc637a3a,2021-08-25T00:06:17.876Z,2021-08-23T20:05:52Z,17.4944464,51.5351648,184.54,226.29,0,17.7,7,1,91,0,0,1.28,0.9,1
6188,db0bbc637a3a,2021-08-25T00:06:17.877Z,2021-08-24T00:05:31Z,17.4948704,51.5347168,145.05,186.8,0.2,306.7,6,2,72,0,0,1.05,0.93,1
6188,db0bbc637a3a,2021-08-25T00:06:17.877Z,2021-08-24T04:05:19Z,17.4872512,51.5360416,57.31,99.07,0,315.9,9,2,62,0,0,0.89,0.82,1
6188,db0bbc637a3a,2021-08-25T00:06:17.878Z,2021-08-24T08:05:01Z,17.4973264,51.5348896,107.83,149.57,0,190,9,2,39,0,0,0.8,0.83,1
6188,db0bbc637a3a,2021-08-25T00:06:17.879Z,2021-08-24T12:05:25Z,17.487696,51.5373536,125.64,167.39,0,225.8,10,2,66,0,0,0.9,0.82,1
6188,db0bbc637a3a,2021-08-25T00:06:17.879Z,2021-08-24T16:06:29Z,17.4889168,51.5445408,101.06,142.8,0.3,331.2,6,2,132,0,0,1.02,0.86,1
6188,db0bbc637a3a,2021-08-25T00:06:17.88Z,2021-08-24T20:05:31Z,17.4880544,51.5438304,132.86,174.6,1.9,258.5,5,2,69,0,0,1.68,0.91,1
6188,db0bbc637a3a,2021-08-25T00:06:17.881Z,2021-08-25T00:05:40Z,17.4882336,51.5441408,152.28,194.02,0,0,5,2,81,0,0,1.44,0.91,1
6188,db0bbc637a3a,2021-08-26T00:06:09.611Z,2021-08-25T04:05:55Z,17.4848608,51.540624,77.56,119.3,10.9,325.4,8,2,98,0,0,1.29,3.75,1
6188,db0bbc637a3a,2021-08-26T00:06:09.612Z,2021-08-25T08:04:55Z,17.480112,51.5439328,119.52,161.27,0,340.8,6,2,33,0,0,1.11,0.93,1
6188,db0bbc637a3a,2021-08-26T00:06:09.613Z,2021-08-25T12:05:24Z,17.488072,51.5373312,75.35,117.1,0.1,92.7,5,2,66,0,0,2.61,0.93,1
6188,db0bbc637a3a,2021-08-26T00:06:09.613Z,2021-08-25T16:04:55Z,17.4840064,51.5438464,76.06,117.8,0.3,283.6,8,2,38,0,0,1.04,0.89,1
6188,db0bbc637a3a,2021-08-26T00:06:09.614Z,2021-08-25T20:05:52Z,17.4882848,51.5361152,127.27,169.02,0,49.2,5,2,91,0,0,3.88,0.99,1
6188,db0bbc637a3a,2021-08-26T00:06:09.615Z,2021-08-26T00:05:40Z,17.4878176,51.536064,87.48,129.23,0.3,348.1,6,2,80,0,0,2.07,0.9,1
6188,db0bbc637a3a,2021-08-28T00:05:26.984Z,2021-08-26T04:06:28Z,17.4878464,51.537456,108.25,150,0.2,0,3,1,128,0,0,1.55,1,1
6188,db0bbc637a3a,2021-08-28T00:05:26.985Z,2021-08-26T08:06:30Z,17.489432,51.535472,96.11,137.86,0.3,269.6,4,2,129,0,0,1.59,0.95,1
6188,db0bbc637a3a,2021-08-28T00:05:26.986Z,2021-08-26T12:05:54Z,17.4877584,51.5377696,161.05,202.8,0.3,170.9,4,1,94,0,0,2.58,0.99,1
6188,db0bbc637a3a,2021-08-28T00:05:26.987Z,2021-08-26T16:04:45Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-28T00:05:26.987Z,2021-08-26T20:04:45Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-28T00:05:26.988Z,2021-08-27T00:06:55Z,200,200,0,0,0,0,0,0,151,0,0,0,0,1
6188,db0bbc637a3a,2021-08-28T00:05:26.988Z,2021-08-27T04:04:44Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
